time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357374534010887,-0.011940913274884224,-0.02564987912774086,-0.11534760147333145,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074661657214165,0,-0.003435737220570445,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08149135857820511,0.05999999865889549,85,-0.11541943997144699,-0.03392808139324188,
0.005,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357367549091578,-0.012007088400423527,-0.025821568444371223,-0.11597026139497757,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074680283665657,0,-0.003435736522078514,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08211395889520645,0.05999999865889549,85,-0.1160421222448349,-0.03392816334962845,
0.01,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435736056417227,-0.012065324001014233,-0.025972655043005943,-0.11644924432039261,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907474175095558,0,-0.003435735823586583,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08259288221597672,0.05999999865889549,85,-0.11652108281850815,-0.03392820060253143,
0.014,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357355907559395,-0.012115617282688618,-0.02610313892364502,-0.11697611957788467,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907472126185894,0,-0.003435735125094652,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08309575170278549,0.05999999865889549,85,-0.1170240119099617,-0.03392826020717621,
0.018,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357348922640085,-0.012173852883279324,-0.02625422552227974,-0.11745508015155792,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074762240052223,0,-0.003435734659433365,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08359862118959427,0.05999999865889549,85,-0.11752691864967346,-0.03392830118536949,
0.023,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357341937720776,-0.01223738119006157,-0.02641904726624489,-0.1180059015750885,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074821844697,0,-0.003435733960941434,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08412543684244156,0.05999999865889549,85,-0.11805379390716553,-0.03392836079001427,
0.026,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357337281107903,-0.012285026721656322,-0.02654266357421875,-0.1184130311012268,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074780866503716,0,-0.0034357334952801466,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0845564678311348,0.05999999865889549,85,-0.11848486959934235,-0.03392839804291725,
0.03,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435733262449503,-0.012335317209362984,-0.026673147454857826,-0.11889199167490005,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907474175095558,0,-0.0034357330296188593,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08503539115190506,0.05999999865889549,85,-0.1189638301730156,-0.033928439021110535,
0.034,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357330296188593,-0.012382963672280312,-0.026796763762831688,-0.11932302266359329,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074680283665657,0,-0.0034357330296188593,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0854664221405983,0.05999999865889549,85,-0.11939488351345062,-0.03392845764756203,
0.038,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435732563957572,-0.01243590284138918,-0.02693411521613598,-0.11980200558900833,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907474175095558,0,-0.0034357323311269283,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08594534546136856,0.05999999865889549,85,-0.11987384408712387,-0.03392849862575531,
0.042,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357320982962847,-0.012486196123063564,-0.027064599096775055,-0.12025700509548187,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907472126185894,0,-0.0034357320982962847,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08640032261610031,0.05999999865889549,85,-0.12032884359359741,-0.0339285172522068,
0.045,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435731865465641,-0.012533838860690594,-0.027188215404748917,-0.1206880733370781,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.0190747007727623,0,-0.0034357316326349974,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08680740743875504,0.05999999865889549,85,-0.12073596566915512,-0.033928558230400085,
0.049,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357316326349974,-0.012578836642205715,-0.027304964140057564,-0.12109518051147461,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907462067902088,0,-0.00343573116697371,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08723843842744827,0.05999999865889549,85,-0.12116703391075134,-0.03392859548330307,
0.053,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357309341430664,-0.012626484967768192,-0.027428580448031425,-0.12152627110481262,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907472126185894,0,-0.0034357307013124228,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.087645523250103,0.05999999865889549,85,-0.12157416343688965,-0.03392863646149635,
0.056,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435730468481779,-0.012671482749283314,-0.027545329183340073,-0.12195733934640884,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907472126185894,0,-0.0034357302356511354,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08807655423879623,0.05999999865889549,85,-0.12200523167848587,-0.033928677439689636,
0.06,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003439544700086117,-0.012728848494589329,-0.027696415781974792,-0.12241235375404358,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074680283665657,0,-0.003435729769989848,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0885554775595665,0.05999999865889549,85,-0.12248421460390091,-0.03392873704433441,
0.063,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435729304328561,-0.012772069312632084,-0.027806296944618225,-0.12281948328018188,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907472126185894,0,-0.003435729071497917,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08896256238222122,0.05999999865889549,85,-0.12289133667945862,-0.033928774297237396,
0.067,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357288386672735,-0.012822364456951618,-0.0279367808252573,-0.12329846620559692,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074780866503716,0,-0.00343572860583663,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.08941753953695297,0.05999999865889549,85,-0.12334635853767395,-0.03392881527543068,
0.071,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435728373005986,-0.01286736223846674,-0.02805352956056595,-0.12370558828115463,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074801355600357,0,-0.0034357281401753426,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0898246243596077,0.05999999865889549,85,-0.12375348061323166,-0.03392885625362396,
0.074,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435727907344699,-0.012912362813949585,-0.028170278295874596,-0.12408876419067383,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074821844697,0,-0.0034357276745140553,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09020776301622391,0.05999999865889549,85,-0.12413665652275085,-0.03392889350652695,
0.077,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357274416834116,-0.012952066957950592,-0.028273291885852814,-0.12444800138473511,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074821844697,0,-0.003435727208852768,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09059090167284012,0.05999999865889549,85,-0.12451983988285065,-0.03392893448472023,
0.08,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357269760221243,-0.012997067533433437,-0.028396908193826675,-0.12485511600971222,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074821844697,0,-0.0034357267431914806,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09097404032945633,0.05999999865889549,85,-0.12490300834178925,-0.033928971737623215,
0.084,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435726510360837,-0.01303942035883665,-0.028499921783804893,-0.125238299369812,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074901938438416,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09135718643665314,0.05999999865889549,85,-0.12528619170188904,-0.0339290127158165,
0.087,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.013084424659609795,-0.02861667051911354,-0.12562152743339539,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.01907506212592125,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09174041450023651,0.05999999865889549,85,-0.1256694197654724,-0.0339290127158165,
0.09,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435726510360837,-0.01312147919088602,-0.028712816536426544,-0.1259807050228119,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074860960245132,0,-0.003435726510360837,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09212355315685272,0.05999999865889549,85,-0.12605254352092743,-0.033928994089365005,
0.093,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435726510360837,-0.013169120997190475,-0.028836432844400406,-0.12641176581382751,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074821844697,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09255459159612656,0.05999999865889549,85,-0.12648361921310425,-0.03392903134226799,
0.097,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034395409747958183,-0.01321590505540371,-0.028953181579709053,-0.12684288620948792,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074922427535057,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09296175837516785,0.05999999865889549,85,-0.12689074873924255,-0.033928994089365005,
0.1,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435726510360837,-0.013259119354188442,-0.0290699303150177,-0.12722599506378174,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074762240052223,0,-0.003435726510360837,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09334489703178406,0.05999999865889549,85,-0.12727388739585876,-0.033928994089365005,
0.103,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.003435726510360837,-0.0132988216355443,-0.02917294390499592,-0.1275612711906433,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074680283665657,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09368014335632324,0.05999999865889549,85,-0.12760916352272034,-0.0339290127158165,
0.106,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.013343822211027145,-0.029289692640304565,-0.12801632285118103,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074881449341774,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09415915608406067,0.05999999865889549,85,-0.12808817625045776,-0.0339290127158165,
0.11,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357262775301933,-0.013391470536589622,-0.029413308948278427,-0.12842342257499695,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074780866503716,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0945662409067154,0.05999999865889549,85,-0.1284952461719513,-0.0339290127158165,
0.114,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357262775301933,-0.013439112342894077,-0.02953692525625229,-0.12885451316833496,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074881449341774,0,-0.0034357260446995497,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0949973464012146,0.05999999865889549,85,-0.1289263814687729,-0.03392903134226799,
0.117,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.013481472618877888,-0.02964680641889572,-0.12921378016471863,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019075002521276474,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09533266723155975,0.05999999865889549,85,-0.12926167249679565,-0.0339290127158165,
0.121,0,0,0,0,0,7.849999761333493e-9,0.0009235022007487714,-0.0034395414404571056,-0.013528246432542801,-0.029770422726869583,-0.12966874241828918,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074801355600357,0,-0.003435726510360837,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0957876443862915,0.05999999865889549,85,-0.1297166347503662,-0.033928994089365005,
0.124,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357262775301933,-0.013568815775215626,-0.0298734363168478,-0.13005192577838898,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074762240052223,0,-0.0034357260446995497,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.0961708053946495,0.05999999865889549,85,-0.1300998330116272,-0.03392903134226799,
0.127,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.013613821938633919,-0.02999018505215645,-0.13043513894081116,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074922427535057,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09655401110649109,0.05999999865889549,85,-0.13048303127288818,-0.0339290127158165,
0.13,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357262775301933,-0.013656171970069408,-0.03010006621479988,-0.13079431653022766,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019074801355600357,0,-0.0034357262775301933,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09691320359706879,0.05999999865889549,85,-0.1308661699295044,-0.0339290127158165,
0.134,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.01370116975158453,-0.030216814950108528,-0.13122545182704926,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.0190749429166317,0,-0.0034357260446995497,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09734432399272919,0.05999999865889549,85,-0.13127335906028748,-0.03392903134226799,
0.137,0,0,0,0,0,7.849999761333493e-9,0.0009241893421858549,-0.0034357260446995497,-0.013743530958890915,-0.03032669611275196,-0.13158467411994934,0,0,4.150000095367432,-0.0038348911330103874,-0.0038348911330103874,-0.019075002521276474,0,-0.003435726510360837,0.0009241893421858549,0,1.1920928955078125e-7,0,0,0,-0.09770357608795166,0.05999999865889549,85,-0.13163256645202637,-0.033928994089365005,
