time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.0018584600184112787,0.02276148833334446,0.06193769723176956,0.20197615027427673,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010319040156900883,0,-0.0018584609497338533,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.22029240429401398,0.05999999865889549,85,0.20193731784820557,-0.018355082720518112,
0.005,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.001860524993389845,0.022727608680725098,0.06185227259993553,0.20166540145874023,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318678803741932,0,-0.0018584612989798188,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2199816256761551,0.05999999865889549,85,0.20162656903266907,-0.018355052918195724,
0.009,0,0,0,0,0,7.849999761333493e-9,0.0004996036877855659,-0.001860524993389845,0.022694222629070282,0.061763133853673935,0.20138050615787506,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318637825548649,0,-0.0018584610661491752,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2196967452764511,0.05999999865889549,85,0.2013416588306427,-0.018355082720518112,
0.013,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.0018584608333185315,0.02266845665872097,0.06169627979397774,0.20113444328308105,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.01031859777867794,0,-0.0018584606004878879,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2194507122039795,0.05999999865889549,85,0.2010955810546875,-0.018355123698711395,
0.017,0,0,0,0,0,7.849999761333493e-9,0.0004996036877855659,-0.001860524294897914,0.022636957466602325,0.061614569276571274,0.20086240768432617,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318678803741932,0,-0.0018584606004878879,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.21916574239730835,0.05999999865889549,85,0.20081061124801636,-0.018355123698711395,
0.022,0,0,0,0,0,7.849999761333493e-9,0.0004996036877855659,-0.0018584607169032097,0.022602595388889313,0.06152543053030968,0.2005515694618225,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318637825548649,0,-0.0018584608333185315,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2188807725906372,0.05999999865889549,85,0.2005256712436676,-0.018355103209614754,
0.026,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.0018584608333185315,0.02257540449500084,0.06145486235618591,0.2003055214881897,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318637825548649,0,-0.0018584606004878879,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2186347395181656,0.05999999865889549,85,0.2002796232700348,-0.018355123698711395,
0.03,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.001858460484072566,0.022548198699951172,0.06138429418206215,0.20007234811782837,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318678803741932,0,-0.0018584606004878879,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.2183886170387268,0.05999999865889549,85,0.20003348588943481,-0.018355123698711395,
0.034,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.001858460484072566,0.02252243272960186,0.06131744012236595,0.1998262256383896,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.010318798944354057,0,-0.0018584607169032097,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.21815544366836548,0.05999999865889549,85,0.19980032742023468,-0.0183551125228405,
0.037,0,0,0,0,0,7.849999761333493e-9,0.0004999754019081593,-0.0018584610661491752,0.02249523624777794,0.06124687194824219,0.19959315657615662,0,1.000000013351432e-10,4.150000095367432,-0.0020744032226502895,-0.0020744032226502895,-0.01031859777867794,0,-0.0018584608333185315,0.0004999754019081593,0,1.1920928955078125e-7,0,0,0,0.21790941059589386,0.05999999865889549,85,0.19955430924892426,-0.018355103209614754,
