time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
85.361,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.5764591410061257e-8,-0.000011116944733657874,-0.000028853952244389802,-0.00010054733866127208,0,0,0,0,0,-5.422504756324997e-8,0,1.566657203966315e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009926549682859331,0.05999999865889549,82,-0.00010054749145638198,-0.000001281992126678233,
85.365,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.554759876398748e-8,-0.000011117004760308191,-0.000028853952244389802,-0.00010054832819150761,0,0,0,0,0,-5.349916776253849e-8,0,1.545095784649675e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009928319923346862,0.05999999865889549,82,-0.00010054842277895659,-0.0000012652233181142947,
85.369,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.5344255643867655e-8,-0.000011117062967969105,-0.000028853952244389802,-0.0001005491940304637,0,0,0,0,0,-5.281252768440936e-8,0,1.525940973579054e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009930067608365789,0.05999999865889549,82,-0.0001005493468255736,-0.0000012486741525208345,
85.373,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.5154050458932034e-8,-0.000011117112990177702,-0.000028853952244389802,-0.00010055010352516547,0,0,0,0,0,-5.212588760628023e-8,0,1.5059821834029208e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009931700333254412,0.05999999865889549,82,-0.00010055019811261445,-0.0000012331959169387119,
85.376,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.4966200723165457e-8,-0.000011117166650365107,-0.000028853952244389802,-0.00010055091115646064,0,0,0,0,0,-5.153733795282278e-8,0,1.4883443810731478e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009933226101566106,0.05999999865889549,82,-0.00010055101301986724,-0.0000012187518905193429,
85.38,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.477041422504044e-8,-0.000011117218491563108,-0.000028853952244389802,-0.00010055179154733196,0,0,0,0,0,-5.0831076237045636e-8,0,1.468875865384689e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009934907575370744,0.05999999865889549,82,-0.00010055188613478094,-0.0000012028107221340179,
85.384,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.4587321572889778e-8,-0.000011117269423266407,-0.000028853952244389802,-0.00010055262828245759,0,0,0,0,0,-5.024252658358819e-8,0,1.4506696288663079e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009936568676494062,0.05999999865889549,82,-0.00010055276652565226,-0.0000011870774869748857,
85.388,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.4366634104590048e-8,-0.000011117331268906128,-0.000028853952244389802,-0.00010055362508865073,0,0,0,0,0,-4.943817799585304e-8,0,1.42872238484415e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009938464791048318,0.05999999865889549,82,-0.00010055377060780302,-0.0000011691200825225678,
85.392,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.418856498958121e-8,-0.000011117379472125322,-0.000028853952244389802,-0.00010055443271994591,0,0,0,0,0,-4.881038861981324e-8,0,1.4100351108936593e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009939993469743058,0.05999999865889549,82,-0.00010055456368718296,-0.0000011546270570761408,
85.395,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.4012698557053227e-8,-0.000011117429494333919,-0.000028853952244389802,-0.00010055518214358017,0,0,0,0,0,-4.822183896635579e-8,0,1.3944884358352283e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009941421012626961,0.05999999865889549,82,-0.00010055532038677484,-0.0000011411068499000976,
85.399,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.3848580948661038e-8,-0.000011117473150079604,-0.000028853952244389802,-0.00010055598249891773,0,0,0,0,0,-4.7672525482767014e-8,0,1.3772034179737602e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009942831820808351,0.05999999865889549,82,-0.00010055606253445148,-0.000001127742393691733,
85.402,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.367693513998347e-8,-0.000011117521353298798,-0.000028853952244389802,-0.00010055670281872153,0,0,0,0,0,-4.710359746695758e-8,0,1.3610758742288454e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009944306657416746,0.05999999865889549,82,-0.00010055683378595859,-0.0000011137644833070226,
85.406,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.3516775254629465e-8,-0.000011117565918539185,-0.000028853952244389802,-0.00010055751772597432,0,0,0,0,0,-4.647580809091778e-8,0,1.3432746470698476e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009945845522452146,0.05999999865889549,82,-0.00010055765596916899,-0.000001099197788789752,
85.409,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.3339985116544995e-8,-0.000011117614121758379,-0.000028853952244389802,-0.0001005582744255662,0,0,0,0,0,-4.594611624497702e-8,0,1.3266244991427811e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009947282524080947,0.05999999865889549,82,-0.00010055839811684564,-0.0000010863253692150465,
85.413,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.3174659585502013e-8,-0.000011117662324977573,-0.000028853952244389802,-0.00010055906022898853,0,0,0,0,0,-4.5239854529199874e-8,0,1.3083685246328969e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009948781371349469,0.05999999865889549,82,-0.00010055923485197127,-0.0000010713770279835444,
85.417,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.3002335208511795e-8,-0.00001111770689021796,-0.000028853952244389802,-0.00010055985330836847,0,0,0,0,0,-4.474939530041411e-8,0,1.2921518077746441e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009950183448381722,0.05999999865889549,82,-0.00010055993334390223,-0.000001058096245287743,
85.421,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.2805635662971326e-8,-0.000011117761459900066,-0.000028853952244389802,-0.00010056077735498548,0,0,0,0,0,-4.400390096748197e-8,0,1.2717201514078624e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009952102118404582,0.05999999865889549,82,-0.0001005609447020106,-0.0000010399246548331575,
85.426,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.2594412623911921e-8,-0.000011117818758066278,-0.000028853952244389802,-0.00010056165046989918,0,0,0,0,0,-4.335649705922151e-8,0,1.2524772330380074e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009953686821972951,0.05999999865889549,82,-0.000100561766885221,-0.000001024899688673031,
85.429,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.2446932373677555e-8,-0.00001111786059482256,-0.000028853952244389802,-0.00010056231258204207,0,0,0,0,0,-4.2807183575632735e-8,0,1.2378126967860226e-8,-0.0039883507415652275,0,0,0,0,0,-0.0000995495356619358,0.05999999865889549,82,-0.00010056243627332151,-0.0000010128995882041636,
85.433,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.2301185847718443e-8,-0.000011117900612589438,-0.000028853952244389802,-0.00010056301834993064,0,0,0,0,0,-4.231672434684697e-8,0,1.2224717238495941e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009956279973266646,0.05999999865889549,82,-0.00010056314204121009,-0.0000010003446959672146,
85.437,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.214027989249189e-8,-0.000011117944268335123,-0.000028853952244389802,-0.00010056375322164968,0,0,0,0,0,-4.178702894819253e-8,0,1.2064806043099452e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009957660222426057,0.05999999865889549,82,-0.00010056386236101389,-9.87258772511268e-7,
85.441,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1981509118186295e-8,-0.000011117987924080808,-0.000028853952244389802,-0.0001005644298857078,0,0,0,0,0,-4.123771546460375e-8,0,1.1915254560790345e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009958880400517955,0.05999999865889549,82,-0.00010056450264528394,-9.756977306096815e-7,
85.444,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1841187586014712e-8,-0.000011118027941847686,-0.000028853952244389802,-0.00010056499013444409,0,0,0,0,0,-4.0766877873466e-8,0,1.1783864550807266e-8,-0.0039883507415652275,0,0,0,0,0,-0.0000996001617750153,0.05999999865889549,82,-0.0001005650992738083,-9.656082511355635e-7,
85.447,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1710611147464078e-8,-0.000011118063412141055,-0.000028853952244389802,-0.00010056569590233266,0,0,0,0,0,-4.029603672961457e-8,0,1.163777341162131e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009961349132936448,0.05999999865889549,82,-0.00010056580504169688,-9.523158723823144e-7,
85.451,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1549374789865396e-8,-0.000011118108886876144,-0.000028853952244389802,-0.00010056646715383977,0,0,0,0,0,-3.972710516109146e-8,0,1.1469605709635289e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009962802141672,0.05999999865889549,82,-0.00010056657629320398,-9.392040283273673e-7,
85.455,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1366719121497226e-8,-0.000011118158909084741,-0.000028853952244389802,-0.00010056718019768596,0,0,0,0,0,-3.9158173592568346e-8,0,1.1311694692039964e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009964097262127325,0.05999999865889549,82,-0.00010056724568130448,-9.26273969525937e-7,
85.459,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1233588281811535e-8,-0.000011118195288872812,-0.000028853952244389802,-0.00010056778410216793,0,0,0,0,0,-3.866771791649626e-8,0,1.1171472635851387e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009965309436665848,0.05999999865889549,82,-0.00010056788596557453,-9.147926220975933e-7,
85.462,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.1109737130254871e-8,-0.00001111822984967148,-0.000028853952244389802,-0.00010056834435090423,0,0,0,0,0,-3.825573102744784e-8,0,1.105595259787151e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009966307698050514,0.05999999865889549,82,-0.00010056840983452275,-9.053325129571022e-7,
85.466,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0971994868214097e-8,-0.000011118268048448954,-0.000028853952244389802,-0.00010056896280730143,0,0,0,0,0,-3.776527535137575e-8,0,1.0911360703858008e-8,-0.0039883507415652275,0,0,0,0,0,-0.0000996755770756863,0.05999999865889549,82,-0.00010056907194666564,-8.934931656767731e-7,
85.469,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0843518083447634e-8,-0.000011118302609247621,-0.000028853952244389802,-0.00010056958126369864,0,0,0,0,0,-3.729443420752432e-8,0,1.0783601567254664e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009968662197934464,0.05999999865889549,82,-0.00010056965402327478,-8.830309070617659e-7,
85.473,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0716544096567304e-8,-0.00001111833807954099,-0.000028853952244389802,-0.00010057008330477402,0,0,0,0,0,-3.692168704105825e-8,0,1.0672092543018152e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009969625534722582,0.05999999865889549,82,-0.00010057019244413823,-8.739005465940863e-7,
85.476,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0605745615066553e-8,-0.000011118369911855552,-0.000028853952244389802,-0.00010057059262180701,0,0,0,0,0,-3.6529318236944164e-8,0,1.0554412455121565e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009970642713597044,0.05999999865889549,82,-0.000100570687209256,-8.642635975775192e-7,
85.479,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0496073343801982e-8,-0.000011118399015686009,-0.000028853952244389802,-0.00010057111649075523,0,0,0,0,0,-3.613695298554376e-8,0,1.044528374904985e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009971585677703843,0.05999999865889549,82,-0.00010057118197437376,-8.553281531931134e-7,
85.482,0,0,0,0,0,7.849999761333493e-9,-0.0039883507415652275,1.0394778371392022e-8,-0.000011118428119516466,-0.000028853952244389802,-0.00010057158215204254,0,0,0,0,0,-3.58230600738807e-8,0,1.0344464840272849e-8,-0.0039883507415652275,0,0,0,0,0,-0.00009972457337426022,0.05999999865889549,82,-0.00010057164763566107,-8.470711918562301e-7,
