time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
0,0,-0.00343573722057045,0,1.19209289550781e-07
0.001,0,-0.00343573708087206,0,1.19209289550781e-07
0.002,0,-0.00343573694117367,0,1.19209289550781e-07
0.003,0,-0.00343573680147529,0,1.19209289550781e-07
0.004,0,-0.0034357366617769,0,1.19209289550781e-07
0.005,0,-0.00343573652207851,0,1.19209289550781e-07
0.006,0,-0.00343573638238013,0,1.19209289550781e-07
0.007,0,-0.00343573624268174,0,1.19209289550781e-07
0.008,0,-0.00343573610298336,0,1.19209289550781e-07
0.009,0,-0.00343573596328497,0,1.19209289550781e-07
0.01,0,-0.00343573582358658,0,1.19209289550781e-07
0.011,0,-0.0034357356489636,0,1.19209289550781e-07
0.012,0,-0.00343573547434062,0,1.19209289550781e-07
0.013,0,-0.00343573529971763,0,1.19209289550781e-07
0.014,0,-0.00343573512509465,0,1.19209289550781e-07
0.015,0,-0.00343573500867933,0,1.19209289550781e-07
0.016,0,-0.00343573489226401,0,1.19209289550781e-07
0.017,0,-0.00343573477584869,0,1.19209289550781e-07
0.018,0,-0.00343573465943336,0,1.19209289550781e-07
0.019,0,-0.00343573451973498,0,1.19209289550781e-07
0.02,0,-0.00343573438003659,0,1.19209289550781e-07
0.021,0,-0.00343573424033821,0,1.19209289550781e-07
0.022,0,-0.00343573410063982,0,1.19209289550781e-07
0.023,0,-0.00343573396094143,0,1.19209289550781e-07
0.024,0,-0.003435733805721,0,1.19209289550781e-07
0.025,0,-0.00343573365050058,0,1.19209289550781e-07
0.026,0,-0.00343573349528015,0,1.19209289550781e-07
0.027,0,-0.00343573337886482,0,1.19209289550781e-07
0.028,0,-0.0034357332624495,0,1.19209289550781e-07
0.029,0,-0.00343573314603418,0,1.19209289550781e-07
0.03,0,-0.00343573302961886,0,1.19209289550781e-07
0.031,0,-0.00343573302961886,0,1.19209289550781e-07
0.032,0,-0.00343573302961886,0,1.19209289550781e-07
0.033,0,-0.00343573302961886,0,1.19209289550781e-07
0.034,0,-0.00343573302961886,0,1.19209289550781e-07
0.035,0,-0.00343573285499588,0,1.19209289550781e-07
0.036,0,-0.00343573268037289,0,1.19209289550781e-07
0.037,0,-0.00343573250574991,0,1.19209289550781e-07
0.038,0,-0.00343573233112693,0,1.19209289550781e-07
0.039,0,-0.00343573227291927,0,1.19209289550781e-07
0.04,0,-0.00343573221471161,0,1.19209289550781e-07
0.041,0,-0.00343573215650395,0,1.19209289550781e-07
0.042,0,-0.00343573209829628,0,1.19209289550781e-07
0.043,0,-0.00343573194307586,0,1.19209289550781e-07
0.044,0,-0.00343573178785543,0,1.19209289550781e-07
0.045,0,-0.003435731632635,0,1.19209289550781e-07
0.046,0,-0.00343573151621968,0,1.19209289550781e-07
