time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
0,0,-0.00185846094973385,0,1.19209289550781e-07
0.001,0,-0.00185846101958305,0,1.19209289550781e-07
0.002,0,-0.00185846108943224,0,1.19209289550781e-07
0.003,0,-0.00185846115928143,0,1.19209289550781e-07
0.004,0,-0.00185846122913063,0,1.19209289550781e-07
0.005,0,-0.00185846129897982,0,1.19209289550781e-07
0.006,0,-0.00185846124077216,0,1.19209289550781e-07
0.007,0,-0.0018584611825645,0,1.19209289550781e-07
0.008,0,-0.00185846112435684,0,1.19209289550781e-07
0.009,0,-0.00185846106614918,0,1.19209289550781e-07
0.01,0,-0.00185846094973385,0,1.19209289550781e-07
0.011,0,-0.00185846083331853,0,1.19209289550781e-07
0.012,0,-0.00185846071690321,0,1.19209289550781e-07
0.013,0,-0.00185846060048789,0,1.19209289550781e-07
0.014,0,-0.00185846060048789,0,1.19209289550781e-07
0.015,0,-0.00185846060048789,0,1.19209289550781e-07
0.016,0,-0.00185846060048789,0,1.19209289550781e-07
0.017,0,-0.00185846060048789,0,1.19209289550781e-07
0.018,0,-0.00185846064705402,0,1.19209289550781e-07
0.019,0,-0.00185846069362015,0,1.19209289550781e-07
0.02,0,-0.00185846074018627,0,1.19209289550781e-07
0.021,0,-0.0018584607867524,0,1.19209289550781e-07
0.022,0,-0.00185846083331853,0,1.19209289550781e-07
0.023,0,-0.00185846077511087,0,1.19209289550781e-07
0.024,0,-0.00185846071690321,0,1.19209289550781e-07
0.025,0,-0.00185846065869555,0,1.19209289550781e-07
0.026,0,-0.00185846060048789,0,1.19209289550781e-07
0.027,0,-0.00185846060048789,0,1.19209289550781e-07
0.028,0,-0.00185846060048789,0,1.19209289550781e-07
0.029,0,-0.00185846060048789,0,1.19209289550781e-07
0.03,0,-0.00185846060048789,0,1.19209289550781e-07
0.031,0,-0.00185846062959172,0,1.19209289550781e-07
0.032,0,-0.00185846065869555,0,1.19209289550781e-07
0.033,0,-0.00185846068779938,0,1.19209289550781e-07
0.034,0,-0.00185846071690321,0,1.19209289550781e-07
0.035,0,-0.00185846075570832,0,1.19209289550781e-07
0.036,0,-0.00185846079451342,0,1.19209289550781e-07
0.037,0,-0.00185846083331853,0,1.19209289550781e-07
0.038,0,-0.00185846077511087,0,1.19209289550781e-07
0.039,0,-0.00185846071690321,0,1.19209289550781e-07
0.04,0,-0.00185846065869555,0,1.19209289550781e-07
0.041,0,-0.00185846060048789,0,1.19209289550781e-07
0.042,0,-0.0018584606780981,0,1.19209289550781e-07
0.043,0,-0.00185846075570832,0,1.19209289550781e-07
0.044,0,-0.00185846083331853,0,1.19209289550781e-07
0.045,0,-0.00185846083331853,0,1.19209289550781e-07
0.046,0,-0.00185846083331853,0,1.19209289550781e-07
0.047,0,-0.00185846083331853,0,1.19209289550781e-07
0.048,0,-0.00185846083331853,0,1.19209289550781e-07
0.049,0,-0.00185846083331853,0,1.19209289550781e-07
0.05,0,-0.00185846083331853,0,1.19209289550781e-07
0.051,0,-0.00185846083331853,0,1.19209289550781e-07
