time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1335.529,0,0,0,0,0,0
1335.53,0,0,0,0,0,0
1335.531,0,0,0,0,0,0
1335.532,0,0,0,0,0,0
1335.533,0,0,0,0,0,0
1335.534,0,0,0,0,0,0
1335.535,0,0,0,0,0,0
1335.536,0,0,0,0,0,0
1335.537,0,0,0,0,0,0
1335.538,0,0,0,0,0,0
1335.539,0,0,0,0,0,0
1335.54,0,0,0,0,0,0
1335.541,0,0,0,0,0,0
1335.542,0,0,0,0,0,0
1335.543,0,0,0,0,0,0
1335.544,0,0,0,0,0,0
1335.545,0,0,0,0,0,0
1335.546,0,0,0,0,0,0
1335.547,0,0,0,0,0,0
1335.548,0,0,0,0,0,0
1335.549,0,0,0,0,0,0
1335.55,0,0,0,0,0,0
1335.551,0,0,0,0,0,0
1335.552,0,0,0,0,0,0
1335.553,0,0,0,0,0,0
1335.554,0,0,0,0,0,0
1335.555,0,0,0,0,0,0
1335.556,0,0,0,0,0,0
1335.557,0,0,0,0,0,0
1335.558,0,0,0,0,0,0
1335.559,0,0,0,0,0,0
1335.56,0,0,0,0,0,0
1335.561,0,0,0,0,0,0
1335.562,0,0,0,0,0,0
1335.563,0,0,0,0,0,0
1335.564,0,0,0,0,0,0
1335.565,0,0,0,0,0,0
1335.566,0,0,0,0,0,0
1335.567,0,0,0,0,0,0
1335.568,0,0,0,0,0,0
1335.569,0,0,0,0,0,0
1335.57,0,0,0,0,0,0
1335.571,0,0,0,0,0,0
1335.572,0,0,0,0,0,0
1335.573,0,0,0,0,0,0
1335.574,0,0,0,0,0,0
1335.575,0,0,0,0,0,0
1335.576,0,0,0,0,0,0
1335.577,0,0,0,0,0,0
1335.578,0,0,0,0,0,0
1335.579,0,0,0,0,0,0
1335.58,0,0,0,0,0,0
1335.581,0,0,0,0,0,0
1335.582,0,0,0,0,0,0
1335.583,0,0,0,0,0,0
1335.584,0,0,0,0,0,0
1335.585,0,0,0,0,0,0
1335.586,0,0,0,0,0,0
1335.587,0,0,0,0,0,0
1335.588,0,0,0,0,0,0
1335.589,0,0,0,0,0,0
1335.59,0,0,0,0,0,0
1335.591,0,0,0,0,0,0
1335.592,0,0,0,0,0,0
1335.593,0,0,0,0,0,0
1335.594,0,0,0,0,0,0
1335.595,0,0,0,0,0,0
1335.596,0,0,0,0,0,0
1335.597,0,0,0,0,0,0
1335.598,0,0,0,0,0,0
1335.599,0,0,0,0,0,0
1335.6,0,0,0,0,0,0
1335.601,0,0,0,0,0,0
1335.602,0,0,0,0,0,0
1335.603,0,0,0,0,0,0
1335.604,0,0,0,0,0,0
1335.605,0,0,0,0,0,0
1335.606,0,0,0,0,0,0
1335.607,0,0,0,0,0,0
1335.608,0,0,0,0,0,0
1335.609,0,0,0,0,0,0
1335.61,0,0,0,0,0,0
1335.611,0,0,0,0,0,0
1335.612,0,0,0,0,0,0
1335.613,0,0,0,0,0,0
1335.614,0,0,0,0,0,0
1335.615,0,0,0,0,0,0
1335.616,0,0,0,0,0,0
1335.617,0,0,0,0,0,0
1335.618,0,0,0,0,0,0
1335.619,0,0,0,0,0,0
1335.62,0,0,0,0,0,0
1335.621,0,0,0,0,0,0
1335.622,0,0,0,0,0,0
1335.623,0,0,0,0,0,0
1335.624,0,0,0,0,0,0
1335.625,0,0,0,0,0,0
1335.626,0,0,0,0,0,0
1335.627,0,0,0,0,0,0
1335.628,0,0,0,0,0,0
1335.629,0,0,0,0,0,0
1335.63,0,0,0,0,0,0
1335.631,0,0,0,0,0,0
1335.632,0,0,0,0,0,0
1335.633,0,0,0,0,0,0
1335.634,0,0,0,0,0,0
1335.635,0,0,0,0,0,0
1335.636,0,0,0,0,0,0
1335.637,0,0,0,0,0,0
1335.638,0,0,0,0,0,0
1335.639,0,0,0,0,0,0
1335.64,0,0,0,0,0,0
1335.641,0,0,0,0,0,0
1335.642,0,0,0,0,0,0
1335.643,0,0,0,0,0,0
1335.644,0,0,0,0,0,0
1335.645,0,0,0,0,0,0
1335.646,0,0,0,0,0,0
1335.647,0,0,0,0,0,0
1335.648,0,0,0,0,0,0
1335.649,0,0,0,0,0,0
1335.65,0,0,0,0,0,0
1335.651,0,0,0,0,0,0
1335.652,0,0,0,0,0,0
1335.653,0,0,0,0,0,0
1335.654,0,0,0,0,0,0
1335.655,0,0,0,0,0,0
1335.656,0,0,0,0,0,0
1335.657,0,0,0,0,0,0
1335.658,0,0,0,0,0,0
1335.659,0,0,0,0,0,0
1335.66,0,0,0,0,0,0
1335.661,0,0,0,0,0,0
1335.662,0,0,0,0,0,0
1335.663,0,0,0,0,0,0
1335.664,0,0,0,0,0,0
1335.665,0,0,0,0,0,0
1335.666,0,0,0,0,0,0
1335.667,0,0,0,0,0,0
1335.668,0,0,0,0,0,0
1335.669,0,0,0,0,0,0
1335.67,0,0,0,0,0,0
1335.671,0,0,0,0,0,0
1335.672,0,0,0,0,0,0
1335.673,0,0,0,0,0,0
1335.674,0,0,0,0,0,0
1335.675,0,0,0,0,0,0
1335.676,0,0,0,0,0,0
1335.677,0,0,0,0,0,0
1335.678,0,0,0,0,0,0
1335.679,0,0,0,0,0,0
1335.68,0,0,0,0,0,0
1335.681,0,0,0,0,0,0
1335.682,0,0,0,0,0,0
1335.683,0,0,0,0,0,0
1335.684,0,0,0,0,0,0
1335.685,0,0,0,0,0,0
1335.686,0,0,0,0,0,0
1335.687,0,0,0,0,0,0
1335.688,0,0,0,0,0,0
1335.689,0,0,0,0,0,0
1335.69,0,0,0,0,0,0
1335.691,0,0,0,0,0,0
1335.692,0,0,0,0,0,0
1335.693,0,0,0,0,0,0
1335.694,0,0,0,0,0,0
1335.695,0,0,0,0,0,0
1335.696,0,0,0,0,0,0
1335.697,0,0,0,0,0,0
1335.698,0,0,0,0,0,0
1335.699,0,0,0,0,0,0
1335.7,0,0,0,0,0,0
1335.701,0,0,0,0,0,0
1335.702,0,0,0,0,0,0
1335.703,0,0,0,0,0,0
1335.704,0,0,0,0,0,0
1335.705,0,0,0,0,0,0
1335.706,0,0,0,0,0,0
1335.707,0,0,0,0,0,0
1335.708,0,0,0,0,0,0
1335.709,0,0,0,0,0,0
1335.71,0,0,0,0,0,0
1335.711,0,0,0,0,0,0
1335.712,0,0,0,0,0,0
1335.713,0,0,0,0,0,0
1335.714,0,0,0,0,0,0
1335.715,0,0,0,0,0,0
1335.716,0,0,0,0,0,0
1335.717,0,0,0,0,0,0
1335.718,0,0,0,0,0,0
1335.719,0,0,0,0,0,0
1335.72,0,0,0,0,0,0
1335.721,0,0,0,0,0,0
1335.722,0,0,0,0,0,0
1335.723,0,0,0,0,0,0
1335.724,0,0,0,0,0,0
1335.725,0,0,0,0,0,0
1335.726,0,0,0,0,0,0
1335.727,0,0,0,0,0,0
1335.728,0,0,0,0,0,0
1335.729,0,0,0,0,0,0
1335.73,0,0,0,0,0,0
1335.731,0,0,0,0,0,0
1335.732,0,0,0,0,0,0
1335.733,0,0,0,0,0,0
1335.734,0,0,0,0,0,0
1335.735,0,0,0,0,0,0
1335.736,0,0,0,0,0,0
1335.737,0,0,0,0,0,0
1335.738,0,0,0,0,0,0
1335.739,0,0,0,0,0,0
1335.74,0,0,0,0,0,0
1335.741,0,0,0,0,0,0
1335.742,0,0,0,0,0,0
1335.743,0,0,0,0,0,0
1335.744,0,0,0,0,0,0
1335.745,0,0,0,0,0,0
1335.746,0,0,0,0,0,0
1335.747,0,0,0,0,0,0
1335.748,0,0,0,0,0,0
1335.749,0,0,0,0,0,0
1335.75,0,0,0,0,0,0
1335.751,0,0,0,0,0,0
1335.752,0,0,0,0,0,0
1335.753,0,0,0,0,0,0
1335.754,0,0,0,0,0,0
1335.755,0,0,0,0,0,0
1335.756,0,0,0,0,0,0
1335.757,0,0,0,0,0,0
1335.758,0,0,0,0,0,0
1335.759,0,0,0,0,0,0
1335.76,0,0,0,0,0,0
1335.761,0,0,0,0,0,0
1335.762,0,0,0,0,0,0
1335.763,0,0,0,0,0,0
1335.764,0,0,0,0,0,0
1335.765,0,0,0,0,0,0
1335.766,0,0,0,0,0,0
1335.767,0,0,0,0,0,0
