time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
149.623,0,0,0,0,0,0
149.624,0,0,0,0,0,0
149.625,0,0,0,0,0,0
149.626,0,0,0,0,0,0
149.627,0,0,0,0,0,0
149.628,0,0,0,0,0,0
149.629,0,0,0,0,0,0
149.63,0,0,0,0,0,0
149.631,0,0,0,0,0,0
149.632,0,0,0,0,0,0
149.633,0,0,0,0,0,0
149.634,0,0,0,0,0,0
149.635,0,0,0,0,0,0
149.636,0,0,0,0,0,0
149.637,0,0,0,0,0,0
149.638,0,0,0,0,0,0
149.639,0,0,0,0,0,0
149.64,0,0,0,0,0,0
149.641,0,0,0,0,0,0
149.642,0,0,0,0,0,0
149.643,0,0,0,0,0,0
149.644,0,0,0,0,0,0
149.645,0,0,0,0,0,0
149.646,0,0,0,0,0,0
149.647,0,0,0,0,0,0
149.648,0,0,0,0,0,0
149.649,0,0,0,0,0,0
149.65,0,0,0,0,0,0
149.651,0,0,0,0,0,0
149.652,0,0,0,0,0,0
149.653,0,0,0,0,0,0
149.654,0,0,0,0,0,0
149.655,0,0,0,0,0,0
149.656,0,0,0,0,0,0
149.657,0,0,0,0,0,0
149.658,0,0,0,0,0,0
149.659,0,0,0,0,0,0
149.66,0,0,0,0,0,0
149.661,0,0,0,0,0,0
149.662,0,0,0,0,0,0
149.663,0,0,0,0,0,0
149.664,0,0,0,0,0,0
149.665,0,0,0,0,0,0
149.666,0,0,0,0,0,0
149.667,0,0,0,0,0,0
149.668,0,0,0,0,0,0
149.669,0,0,0,0,0,0
149.67,0,0,0,0,0,0
149.671,0,0,0,0,0,0
149.672,0,0,0,0,0,0
149.673,0,0,0,0,0,0
149.674,0,0,0,0,0,0
149.675,0,0,0,0,0,0
149.676,0,0,0,0,0,0
149.677,0,0,0,0,0,0
149.678,0,0,0,0,0,0
149.679,0,0,0,0,0,0
149.68,0,0,0,0,0,0
149.681,0,0,0,0,0,0
149.682,0,0,0,0,0,0
149.683,0,0,0,0,0,0
149.684,0,0,0,0,0,0
