time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
85.361,0,1.56665720396632e-08,0,0
85.362,0,1.56126684913712e-08,0,0
85.363,0,1.555876494308e-08,0,0
85.364,0,1.5504861394788e-08,0,0
85.365,0,1.54509578464961e-08,0,0
85.366,0,1.540307081882e-08,0,0
85.367,0,1.53551837911433e-08,0,0
85.368,0,1.53072967634666e-08,0,0
85.369,0,1.52594097357905e-08,0,0
85.37,0,1.520951276035e-08,0,0
85.371,0,1.51596157849095e-08,0,0
85.372,0,1.51097188094697e-08,0,0
85.373,0,1.50598218340292e-08,0,0
85.374,0,1.50010291595964e-08,0,0
85.375,0,1.49422364851643e-08,0,0
85.376,0,1.48834438107315e-08,0,0
85.377,0,1.483477252151e-08,0,0
85.378,0,1.47861012322892e-08,0,0
85.379,0,1.47374299430677e-08,0,0
85.38,0,1.46887586538462e-08,0,0
85.381,0,1.46432430625508e-08,0,0
85.382,0,1.45977274712547e-08,0,0
85.383,0,1.45522118799585e-08,0,0
85.384,0,1.45066962886631e-08,0,0
85.385,0,1.44518281786075e-08,0,0
85.386,0,1.43969600685519e-08,0,0
85.387,0,1.43420919584971e-08,0,0
85.388,0,1.42872238484415e-08,0,0
85.389,0,1.42405056635649e-08,0,0
85.39,0,1.4193787478689e-08,0,0
85.391,0,1.41470692938125e-08,0,0
85.392,0,1.41003511089359e-08,0,0
85.393,0,1.40485288587416e-08,0,0
85.394,0,1.39967066085466e-08,0,0
85.395,0,1.39448843583517e-08,0,0
85.396,0,1.39016718136985e-08,0,0
85.397,0,1.38584592690446e-08,0,0
85.398,0,1.38152467243908e-08,0,0
85.399,0,1.37720341797376e-08,0,0
85.4,0,1.37182757005876e-08,0,0
85.401,0,1.36645172214377e-08,0,0
85.402,0,1.36107587422885e-08,0,0
85.403,0,1.35662556743908e-08,0,0
85.404,0,1.35217526064931e-08,0,0
85.405,0,1.34772495385961e-08,0,0
85.406,0,1.34327464706985e-08,0,0
85.407,0,1.3377245977608e-08,0,0
85.408,0,1.33217454845183e-08,0,0
85.409,0,1.32662449914278e-08,0,0
85.41,0,1.32206050551528e-08,0,0
85.411,0,1.31749651188784e-08,0,0
85.412,0,1.31293251826034e-08,0,0
85.413,0,1.30836852463284e-08,0,0
85.414,0,1.30431434541832e-08,0,0
85.415,0,1.30026016620374e-08,0,0
85.416,0,1.29620598698916e-08,0,0
85.417,0,1.29215180777464e-08,0,0
85.418,0,1.28704389368293e-08,0,0
85.419,0,1.28193597959122e-08,0,0
85.42,0,1.27682806549958e-08,0,0
85.421,0,1.27172015140786e-08,0,0
85.422,0,1.26787156773387e-08,0,0
85.423,0,1.26402298405993e-08,0,0
85.424,0,1.26017440038594e-08,0,0
85.425,0,1.256325816712e-08,0,0
85.426,0,1.25247723303801e-08,0,0
85.427,0,1.24758905428732e-08,0,0
85.428,0,1.24270087553671e-08,0,0
85.429,0,1.23781269678602e-08,0,0
85.43,0,1.2339774535519e-08,0,0
85.431,0,1.23014221031784e-08,0,0
85.432,0,1.22630696708371e-08,0,0
85.433,0,1.22247172384959e-08,0,0
85.434,0,1.21847394396471e-08,0,0
85.435,0,1.21447616407977e-08,0,0
85.436,0,1.21047838419483e-08,0,0
85.437,0,1.20648060430995e-08,0,0
85.438,0,1.2027418172522e-08,0,0
85.439,0,1.19900303019446e-08,0,0
85.44,0,1.19526424313678e-08,0,0
85.441,0,1.19152545607903e-08,0,0
85.442,0,1.18714578907958e-08,0,0
85.443,0,1.18276612208018e-08,0,0
85.444,0,1.17838645508073e-08,0,0
85.445,0,1.17351675044117e-08,0,0
85.446,0,1.16864704580169e-08,0,0
85.447,0,1.16377734116213e-08,0,0
85.448,0,1.15957314861245e-08,0,0
85.449,0,1.15536895606283e-08,0,0
85.45,0,1.15116476351315e-08,0,0
85.451,0,1.14696057096347e-08,0,0
85.452,0,1.14301279552363e-08,0,0
85.453,0,1.13906502008373e-08,0,0
85.454,0,1.13511724464384e-08,0,0
85.455,0,1.131169469204e-08,0,0
85.456,0,1.12766391779927e-08,0,0
85.457,0,1.12415836639454e-08,0,0
85.458,0,1.12065281498987e-08,0,0
85.459,0,1.11714726358514e-08,0,0
85.46,0,1.11329659565246e-08,0,0
85.461,0,1.10944592771983e-08,0,0
85.462,0,1.10559525978715e-08,0,0
85.463,0,1.10198046243679e-08,0,0
85.464,0,1.09836566508648e-08,0,0
85.465,0,1.09475086773611e-08,0,0
85.466,0,1.09113607038574e-08,0,0
85.467,0,1.086877432499e-08,0,0
85.468,0,1.0826187946122e-08,0,0
85.469,0,1.07836015672543e-08,0,0
85.47,0,1.07557243111954e-08,0,0
85.471,0,1.07278470551362e-08,0,0
85.472,0,1.0699969799077e-08,0,0
85.473,0,1.06720925430182e-08,0,0
85.474,0,1.06328658470524e-08,0,0
85.475,0,1.05936391510867e-08,0,0
85.476,0,1.05544124551216e-08,0,0
85.477,0,1.05180362197642e-08,0,0
85.478,0,1.04816599844067e-08,0,0
85.479,0,1.04452837490498e-08,0,0
85.48,0,1.0411677446124e-08,0,0
85.481,0,1.03780711431982e-08,0,0
85.482,0,1.03444648402728e-08,0,0
85.483,0,1.03088145427438e-08,0,0
85.484,0,1.02731642452148e-08,0,0
85.485,0,1.02375139476862e-08,0,0
85.486,0,1.02022355008556e-08,0,0
85.487,0,1.01669570540249e-08,0,0
85.488,0,1.01316786071948e-08,0,0
85.489,0,1.00967625371594e-08,0,0
85.49,0,1.00618464671239e-08,0,0
85.491,0,1.0026930397089e-08,0,0
85.492,0,9.99237315113516e-09,0,0
85.493,0,9.95781590518131e-09,0,0
85.494,0,9.92325865922794e-09,0,0
85.495,0,9.8719485919215e-09,0,0
85.496,0,9.8206385246154e-09,0,0
85.497,0,9.79357039909691e-09,0,0
85.498,0,9.76650227357803e-09,0,0
