time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,6.727147905394304e-8,-1.5327485058946877e-8,-1.0950789430808072e-7,0,0,0.11999999731779099,3,0,0,-2.3296760354174495e-11,0,6.727147905394304e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.005,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,6.727147905394304e-8,-1.5327485058946877e-8,-1.0950789430808072e-7,0,0,0.11999999731779099,3,0,0,-2.3296760354174495e-11,0,6.727147905394304e-8,0.0003067961661145091,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.01,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.0003448775678407401,0.01529366709291935,9.382254120282596e-7,0.13890984654426575,0,0.11999999731779099,3,0,0,0.4122913181781769,0,0.00100945052690804,0.0003067961661145091,0.13890984654426575,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.015,0,0,0,0,0,7.849999761333493e-9,0.0003073110128752887,0.0026904637925326824,0.021794795989990234,0.00007734392420388758,0.202495738863945,0,0.11999999731779099,3,0,0,0.5628445148468018,0,0.003575272858142853,0.0003067961661145091,0.202495738863945,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.02,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.005371302366256714,0.028248274698853493,0.00026663983589969575,0.26635608077049255,0,0.11999999731779099,3,0,0,0.7072060108184814,0,0.006469024810940027,0.0003067961661145091,0.26635608077049255,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.025,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.008284470066428185,0.03467933461070061,0.0005491767660714686,0.3304881453514099,0,0.11999999731779099,3,0,0,0.8474810719490051,0,0.009583607316017151,0.0003067961661145091,0.3304881453514099,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.029,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.0119510218501091,0.03949609398841858,0.0010108655551448464,0.3819875419139862,0,0.11999999731779099,3,0,0,0.931641161441803,0,0.013531570322811604,0.0003067961661145091,0.3819875419139862,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.034,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.015974460169672966,0.04577047750353813,0.0016480687772855163,0.44660159945487976,0,0.11999999731779099,3,0,0,1.0427788496017456,0,0.01811109110713005,0.0003067961661145091,0.44660159945487976,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.039,0,0,0,0,0,7.849999761333493e-9,0.00031105801463127136,0.021545346826314926,0.05168149620294571,0.0027291052974760532,0.5114793181419373,0,0.11999999731779099,3,0,0,1.1389764547348022,0,0.023385358974337578,0.0003067961661145091,0.5114793181419373,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.044,0,0,0,0,0,7.849999761333493e-9,0.0003067961661145091,0.02620016783475876,0.057820338755846024,0.0038217818364501,0.5766177773475647,0,0.11999999731779099,3,0,0,1.2476445436477661,0,0.027989022433757782,0.0003067961661145091,0.5766177773475647,0,0,0,0.09300000220537186,6.699999809265137,0,0,
