time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.005,0,0,0,0,0,7.849999761333493e-9,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.011,0,0,0,0,0,7.849999761333493e-9,2.4868995751603507e-13,0.00023624386813025922,0.013914793729782104,4.795380732502963e-7,0.12622584402561188,0,0.11999999731779099,3,0,0,0.370700865983963,0,0.0011379109928384423,0,0.12622584402561188,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.017,0,0,0,0,0,7.849999761333493e-9,3.751665644813329e-12,0.002520469017326832,0.021833008155226707,0.00007475319580407813,0.202495738863945,0,0.11999999731779099,3,0,0,0.5637348294258118,0,0.0035236410330981016,0,0.202495738863945,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.022,0,0,0,0,0,7.849999761333493e-9,8.185452315956354e-12,0.005401148926466703,0.028241464868187904,0.0002672018890734762,0.26635608077049255,0,0.11999999731779099,3,0,0,0.7041915059089661,0,0.006631894502788782,0,0.26635608077049255,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.027,0,0,0,0,0,7.849999761333493e-9,1.3528733688872308e-11,0.008850481361150742,0.03454991802573204,0.0006181701319292188,0.3304881453514099,0,0.11999999731779099,3,0,0,0.8311564326286316,0,0.010439340025186539,0,0.3304881453514099,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.033,0,0,0,0,0,7.849999761333493e-9,2.0691004465334117e-11,0.013394883833825588,0.0420665517449379,0.001257665571756661,0.4078013300895691,0,0.11999999731779099,3,0,0,0.9784018993377686,0,0.015232396312057972,0,0.4078013300895691,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.038,0,0,0,0,0,7.849999761333493e-9,2.773958840407431e-11,0.01801452226936817,0.0496082603931427,0.0020361016504466534,0.48549678921699524,0,0.11999999731779099,3,0,0,1.1240631341934204,0,0.020096655935049057,0,0.48549678921699524,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.042,0,0,0,0,0,7.849999761333493e-9,0.000004536795586318476,0.02290530316531658,0.05424532666802406,0.0030136348214000463,0.5375036001205444,0,0.11999999731779099,3,0,0,1.1947356462478638,0,0.024637587368488312,0,0.5375036001205444,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.047,0,0,0,0,0,7.849999761333493e-9,4.274625098332763e-11,0.027584658935666084,0.06039510667324066,0.00411936966702342,0.6027454733848572,0,0.11999999731779099,3,0,0,1.3041417598724365,0,0.029216866940259933,0,0.6027454733848572,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.051,0,0,0,0,0,7.849999761333493e-9,5.047695594839752e-11,0.032430849969387054,0.06653457134962082,0.005373732652515173,0.6682437062263489,0,0.11999999731779099,3,0,0,1.4006147384643555,0,0.03441236540675163,0,0.6682437062263489,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.056,0,0,0,0,0,7.849999761333493e-9,5.95719029661268e-11,0.03826402872800827,0.07101910561323166,0.007063886150717735,0.7208247184753418,0,0.11999999731779099,3,0,0,1.4311009645462036,0,0.040745899081230164,0,0.7208247184753418,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.061,0,0,0,0,0,7.849999761333493e-9,7.003109203651547e-11,0.04487409070134163,0.07680542021989822,0.009300441481173038,0.7867763638496399,0,0.11999999731779099,3,0,0,1.5033832788467407,0,0.04691210016608238,0,0.7867763638496399,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.066,0,0,0,0,0,7.849999761333493e-9,0.000010125098924618214,0.05095057934522629,0.08275391161441803,0.011591345071792603,0.8529753088951111,0,0.11999999731779099,3,0,0,1.5813127756118774,0,0.0527384988963604,0,0.8529753088951111,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.07,0,0,0,0,0,7.849999761333493e-9,8.640199666842818e-11,0.05582200735807419,0.08897972106933594,0.01361305732280016,0.919418215751648,0,0.11999999731779099,3,0,0,1.6761696338653564,0,0.0577622689306736,0,0.919418215751648,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.074,0,0,0,0,0,7.849999761333493e-9,9.549694368615746e-11,0.06123797222971916,0.09364185482263565,0.015948282554745674,0.9727457761764526,0,0.11999999731779099,3,0,0,1.7197169065475464,0,0.06319797784090042,0,0.9727457761764526,0,0,0,0.09300000220537186,6.699999809265137,0,0,
