time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.012,0,0,0
0.021,0.022,0,0
0.03,0.029999999,0,0
0.04,0.039999999,0,0
0.049,0.048999999,0,0
0.061,0.059,0,0
0.071,0.07,0,0
0.08,0.081,0,0
0.09,0.090000004,0,0
0.099,0.100000001,0,0
0.107,0.108000003,0,0
0.114,0.116999999,0,0
0.123,0.123999998,0,0
0.131,0.131999999,0,0
0.139,0.141000003,0,0
0.145,0.150000006,0,0
0.151,0.155000001,0,0
0.156,0.160999998,0,0
0.161,0.165999994,0,0
0.167,0.171000004,0,0
0.172,0.177000001,0,0
0.18,0.181999996,0,0
0.188,0.188999996,0,0
0.195,0.197999999,0,0
0.201,0.204999998,0,0
0.206,0.210999995,0,0
0.213,0.216000006,0,0
0.219,0.223000005,0,0
0.224,0.229000002,0,0
0.232,0.233999997,0,0
0.239,0.241999999,0,0
0.246,0.248999998,0,0
0.253,0.256000012,0,0
0.259,0.263000011,0,0
0.265,0.268000007,0,0
0.271,0.275000006,0,0
0.277,0.280999988,0,0
0.284,0.287,0,0
0.291,0.294,0,0
0.297,0.300999999,0,0
0.303,0.307000011,0,0
0.309,0.312999994,0,0
0.316,0.319000006,0,0
0.321,0.326000005,0,0
0.328,0.331,0,0
0.334,0.338,0,0
0.34,0.344000012,0,0
0.346,0.349999994,0,0
0.353,0.356000006,0,0
0.359,0.363000005,0,0
0.365,0.368999988,0,0
0.371,0.375,0,0
0.377,0.381000012,0,0
0.383,0.386999995,0,0
0.39,0.393000007,0,0
0.397,0.400999993,0,0
0.403,0.407000005,0,0
0.409,0.412999988,0,0
0.414,0.418000013,0,0
0.42,0.423999995,0,0
0.426,0.430000007,0,0
0.432,0.43599999,0,0
0.44,0.442000002,0,0
0.447,0.449999988,0,0
0.454,0.456999987,0,0
0.461,0.463999987,0,0
0.468,0.470999986,0,0
0.473,0.477999985,0,0
0.479,0.483999997,0,0
0.484,0.488999993,0,0
0.49,0.493999988,0,0
0.501,0.501999974,0,0
0.51,0.510999978,0,0
0.518,0.519999981,0,0
0.527,0.528999984,0,0
0.533,0.537,0,0
0.54,0.542999983,0,0
0.548,0.550000012,0,0
0.557,0.556999981,0,0
0.565,0.566999972,0,0
0.571,0.574999988,0,0
0.578,0.58099997,0,0
0.585,0.588,0,0
0.592,0.595000029,0,0
0.598,0.601999998,0,0
0.605,0.60799998,0,0
0.612,0.61500001,0,0
0.618,0.621999979,0,0
0.625,0.628000021,0,0
0.632,0.63499999,0,0
0.639,0.640999973,0,0
0.645,0.648999989,0,0
0.651,0.654999971,0,0
0.657,0.661000013,0,0
0.663,0.666999996,0,0
0.67,0.672999978,0,0
0.677,0.680000007,0,0
0.683,0.68599999,0,0
0.688,0.693000019,0,0
0.694,0.698000014,0,0
0.7,0.703999996,0,0
0.704,0.708999991,0,0
0.71,0.714999974,0,0
0.716,0.720000029,0,0
0.722,0.726000011,0,0
0.727,0.731999993,0,0
0.733,0.737999976,0,0
0.739,0.742999971,0,0
0.744,0.749000013,0,0
0.749,0.754000008,0,0
0.754,0.75999999,0,0
0.76,0.763999999,0,0
0.767,0.771000028,0,0
0.772,0.77700001,0,0
0.777,0.782000005,0,0
0.781,0.787,0,0
0.786,0.791000009,0,0
0.79,0.796000004,0,0
0.794,0.800000012,0,0
0.799,0.80400002,0,0
0.803,0.809000015,0,0
0.807,0.813000023,0,0
0.813,0.816999972,0,0
0.818,0.823000014,0,0
0.824,0.828000009,0,0
0.829,0.833999991,0,0
0.834,0.838999987,0,0
0.84,0.843999982,0,0
0.846,0.850000024,0,0
0.851,0.856000006,0,0
0.857,0.861000001,0,0
0.865,0.866999984,0,0
0.875,0.876999974,0,0
0.883,0.885999978,0,0
0.892,0.893000007,0,0
0.897,0.901000023,0,0
0.903,0.907000005,0,0
0.908,0.912999988,0,0
0.915,0.916999996,0,0
0.921,0.925000012,0,0
0.928,0.930999994,0,0
0.935,0.938000023,0,0
0.942,0.944000006,0,0
0.95,0.952000022,0,0
0.957,0.958999991,0,0
0.963,0.967000008,0,0
0.97,0.97299999,0,0
0.976,0.980000019,0,0
0.981,0.986000001,0,0
0.986,0.990999997,0,0
0.991,0.995999992,0,0
0.997,1.001999974,0,0
1.002,1.006999969,0,0
1.007,1.011999965,0,0
1.011,1.01699996,0,0
1.016,1.021000028,0,0
1.023,1.02699995,0,0
1.029,1.032999992,0,0
1.035,1.039000034,0,0
1.041,1.046000004,0,0
1.046,1.050999999,0,0
1.05,1.054999948,0,0
1.056,1.06099999,0,0
1.061,1.065999985,0,0
1.066,1.07099998,0,0
1.071,1.075999975,0,0
1.079,1.082000017,0,0
1.084,1.088999987,0,0
1.089,1.093999982,0,0
1.094,1.098999977,0,0
1.098,1.103999972,0,0
1.104,1.108999968,0,0
1.111,1.113999963,0,0
1.116,1.120000005,0,0
1.121,1.126000047,0,0
1.127,1.131999969,0,0
1.133,1.136999965,0,0
1.139,1.143000007,0,0
1.145,1.149000049,0,0
1.15,1.154999971,0,0
1.155,1.159999967,0,0
1.16,1.164999962,0,0
1.167,1.169999957,0,0
1.173,1.175999999,0,0
1.18,1.182999969,0,0
1.185,1.190000057,0,0
1.19,1.195000052,0,0
1.195,1.200000048,1.533980846,0.000306796
1.199,1.205000043,0,0.000306796
1.204,1.208999991,0,0.000306796
1.208,1.213999987,0,0.000306796
1.213,1.218000054,0,0.000306796
1.217,1.22300005,0,0.000306796
1.222,1.226999998,0,0.000306796
1.228,1.231999993,0,0.000306796
1.232,1.236999989,0,0.000306796
1.237,1.241999984,0,0.000306796
1.242,1.246999979,0,0.000306796
1.247,1.253000021,0,0.000306796
1.253,1.256999969,0,0.000306796
1.259,1.263000011,0,0.000306796
1.267,1.269999981,0,0.000306796
1.274,1.27699995,0,0.000306796
1.28,1.284000039,0,0.000306796
