time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.01,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.018,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.026,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.033,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.041,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.049,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.057,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.064,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.072,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.08,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.089,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.095,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.101,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.107,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.113,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.119,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.128,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.135,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.141,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.147,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
