time,QEIdata.omega,QEIdata.theta,Voltage
0,0,0.000306796,12
0.001,0,0.000306796,12
0.002,0,0.000920388,12
0.003,0,0.001533981,12
0.004,0,0.001840777,12
0.005,0,0.002454369,12
0.006,1.533980846,0.003067962,12
0.007,0,0.003681554,12
0.008,1.533980846,0.004601943,12
0.009,0,0.005215536,12
0.01,0,0.006135925,12
0.011,3.067961693,0.00736311,12
0.012,1.533980846,0.008283499,12
0.013,3.067961693,0.00981748,12
0.014,1.533980846,0.011044665,12
0.015,1.533980846,0.01227185,12
0.016,0,0.013805832,12
0.017,1.533980846,0.015339813,12
0.018,1.533980846,0.01718059,12
0.019,3.067961693,0.019021368,12
0.02,1.533980846,0.020555349,12
0.021,1.533980846,0.023316516,12
0.023,1.533980846,0.02546409,12
0.024,3.067961693,0.027611664,12
0.025,3.067961693,0.029759238,12
0.026,1.533980846,0.032213606,12
0.027,3.067961693,0.034667976,12
0.028,1.533980846,0.03681555,12
0.029,1.533980846,0.03926992,12
0.03,3.067961693,0.041724291,12
0.031,1.533980846,0.043871865,12
0.032,3.067961693,0.046633031,12
0.033,1.533980846,0.048780605,12
0.034,1.533980846,0.051234975,12
0.035,3.067961693,0.054302938,12
0.036,1.533980846,0.057677697,12
0.037,1.533980846,0.060132068,12
0.039,3.067961693,0.062893234,12
0.039,3.067961693,0.065347597,12
0.04,1.533980846,0.06749516,12
0.042,1.533980846,0.069949523,12
0.042,1.533980846,0.072097085,12
0.044,1.533980846,0.075165041,12
0.045,3.067961693,0.077619404,12
0.046,3.067961693,0.080073766,12
0.047,3.067961693,0.082221329,12
0.048,3.067961693,0.084675692,12
0.049,3.067961693,0.087130055,12
0.05,3.067961693,0.089277618,12
0.051,1.533980846,0.091731973,12
0.052,1.533980846,0.093879536,12
0.053,3.067961693,0.096333899,12
0.054,1.533980846,0.098481461,12
0.055,1.533980846,0.100935817,12
0.056,1.533980846,0.10308338,12
0.057,3.067961693,0.105844535,12
0.058,3.067961693,0.10829889,12
0.06,1.533980846,0.110446446,12
0.061,1.533980846,0.112287216,12
0.062,1.533980846,0.114434779,12
0.063,3.067961693,0.115968756,12
0.063,1.533980846,0.117809519,12
0.065,3.067961693,0.120263875,12
0.066,1.533980846,0.122104637,12
0.067,0,0.123945408,12
0.068,3.067961693,0.12639977,12
0.069,1.533980846,0.128240556,12
0.07,0,0.129774541,12
0.071,1.533980846,0.132228911,12
0.072,3.067961693,0.134683281,12
0.073,1.533980846,0.136524066,12
