time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.01,0,0,0
0.02,0.107622966,0,0
0.029,0.171673447,0,0
0.04,0.236260608,0,0
0.048,0.301372737,0,0
0.057,0.360412359,0,0
0.064,0.413233131,0,0
0.073,0.466367871,0,0
0.081,0.519809484,0,0
0.089,0.573550582,0,0
0.097,0.634358048,0,0
0.104,0.681901038,0,0
0.11,0.736494482,0,0
0.115,0.777615666,0,0
0.122,0.811995804,0,0
0.128,0.867210984,0,0
0.135,0.901846409,0,0
0.142,0.950493813,0,0
0.15,0.999319494,0,0
0.158,1.055330276,0,0
0.165,1.111555815,0,0
0.171,1.153859496,0,0
0.178,1.196273923,0,0
0.185,1.252990723,0,0
0.192,1.302764177,0,0
0.199,1.35266614,0,0
0.205,1.402689219,0,0
0.214,1.445656538,0,0
0.226,1.517439842,0,0
0.236,1.596623778,0,0
0.244,1.668784738,0,0
0.255,1.726616263,0,0
0.264,1.799012303,0,0
0.274,1.864249706,0,0.000920389
0.283,1.93680048,0,0.00245437
0.292,2.0093925,0,0.003988351
0.3,2.074736595,1.533980846,0.005829129
0.309,2.132811546,0,0.006442722
0.317,2.190862179,0,0.007363111
0.325,2.256120682,0,0.007976703
0.332,2.314067125,0,0.008897092
0.339,2.364710093,1.533980846,0.010124277
0.347,2.41528511,0,0.011658258
0.354,2.465780735,0,0.01319224
0.362,2.523378372,0,0.014419425
0.369,2.580840111,1.533980846,0.015953406
0.376,2.630993843,0,0.017180592
0.383,2.681018114,1.533980846,0.019021369
0.39,2.723783493,1.533980846,0.021168943
0.398,2.78062892,1.533980846,0.023009721
0.405,2.837256432,1.533980846,0.024850499
0.411,2.886612177,0,0.02638448
0.416,2.928763151,0,0.028225258
0.422,2.963773966,0,0.029759239
0.428,3.005642176,0,0.031600017
0.434,3.047344446,0,0.033747591
0.442,3.088872194,0,0.035895165
0.448,3.143956184,0,0.037735942
0.453,3.185043573,0,0.039883516
0.459,3.219128132,0,0.041417498
0.465,3.259835958,1.533980846,0.044178664
0.471,3.300324202,0,0.045712646
0.477,3.340584278,1.533980846,0.04786022
0.482,3.380606651,0,0.049700997
0.486,3.413770914,0,0.051541775
0.493,3.440175295,0,0.054302942
0.499,3.479563951,0,0.056450516
0.505,3.518682957,1.533980846,0.059211682
0.511,3.557523012,0,0.061359234
0.516,3.596074343,0,0.064427159
0.523,3.634327888,0,0.067188292
0.528,3.672273636,0,0.069949425
