time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.009,0,0,0
0.016,0.056547463,0,0
0.023,0.075395368,0,0
0.031,0.097383216,0,0
0.039,0.122509852,0,0
0.046,0.147633389,0,0
0.053,0.169613451,0,0
0.06,0.191590235,0,0
0.066,0.213563308,0,0
0.073,0.232394099,0,0
0.079,0.254359156,0,0
0.085,0.273182452,0,0
0.091,0.292001873,0,0
0.096,0.310817152,0,0
0.101,0.326493174,0,0
0.109,0.345300138,0,0
0.116,0.367235363,0,0
0.126,0.389163494,0,0
0.136,0.420476228,0,0
0.145,0.451772362,0,0
0.153,0.479923666,0,0
0.161,0.504934192,0,0
0.172,0.529931962,0,0
0.18,0.56428194,0,0
0.189,0.589246869,0,0
0.198,0.617314577,0,0
0.205,0.64224714,0,0
0.211,0.667163491,0,0
0.217,0.685839713,0,0
0.223,0.704506159,0,0
0.229,0.723162591,0,0
0.237,0.741808772,0,0
0.244,0.766653895,0,0
0.251,0.788377523,0,0
0.257,0.810085893,0,0
0.262,0.828680634,0,0
0.268,0.844167233,0,0
0.275,0.862740159,0,0
0.281,0.884393036,0,0
0.287,0.902939081,0,0
0.293,0.921472251,0,0
0.3,0.939992309,0,0
0.307,0.961582184,0,0
0.314,0.980073035,0,0
0.32,1.004705667,0,0
0.327,1.026238561,0,0
0.334,1.047751546,0,0
0.341,1.069244146,0,0
0.347,1.084583521,0,0
0.352,1.106040478,0,0
0.358,1.121353745,0,0
0.365,1.139715195,0,0
0.372,1.161116362,0,0
0.38,1.182494998,0,0
0.387,1.206899762,0,0
0.393,1.228228807,0,0
0.399,1.249534249,0,0
0.405,1.264737606,0,0
0.41,1.282965183,0,0
0.415,1.298140883,0,0
0.421,1.313303709,0,0
0.428,1.331482053,0,0.000306796
0.435,1.35569036,0,0.000613592
0.442,1.376844525,0,0.000613592
0.448,1.394955516,0,0.000920388
0.455,1.416059971,0,0.001227185
0.46,1.434127688,0,0.001227185
0.466,1.449168444,0,0.001227185
0.472,1.46719861,0,0.001533981
0.478,1.485207915,0,0.001533981
0.485,1.50319612,0,0.001533981
0.491,1.524155259,0,0.001533981
0.498,1.542096853,0,0.001533981
0.504,1.563000917,0,0.001533981
0.51,1.580894709,0,0.001840777
0.52,1.598765969,1.533980846,0.001840777
0.532,1.631470799,0,0.002147573
0.543,1.667059898,0,0.002147573
0.553,1.696645141,0,0.002147573
0.561,1.726163387,0,0.002454369
0.57,1.752671599,0,0.002761166
0.578,1.77618742,0,0.002761166
0.589,1.799658418,0,0.003681554
0.598,1.831856608,0,0.004295147
0.606,1.858135462,0,0.004601943
0.614,1.881444693,0,0.005215536
0.622,1.904706359,0,0.005522332
0.628,1.927919984,0,0.005829128
0.635,1.945298195,0,0.006135925
0.641,1.965537786,0,0.006442721
0.647,1.982855797,0,0.00736311
0.657,2.000145674,0,0.008283499
0.667,2.031769753,0,0.009203888
0.674,2.057571888,0,0.010124276
0.681,2.077594519,0,0.011044665
0.69,2.097577333,0,0.011965054
0.698,2.123209476,0,0.013192239
0.707,2.145936966,1.533980846,0.014419424
0.718,2.171440363,0,0.015339813
0.726,2.199695826,0,0.016260201
0.734,2.225051641,0,0.01718059
0.742,2.250336409,0,0.018407775
0.75,2.269952536,0,0.019328164
0.757,2.292317152,0,0.020555349
0.763,2.311838865,0,0.021168942
0.768,2.328536034,0,0.021782534
0.773,2.342425108,0,0.022702923
0.778,2.356291056,0,0.023316516
0.782,2.370133638,0,0.023930108
0.788,2.383953094,0,0.024850497
0.794,2.397748709,0,0.026077682
0.801,2.414272547,0,0.026691275
0.806,2.433506727,0,0.027611664
0.811,2.447216749,0,0.028225256
0.817,2.460902452,0,0.029452441
