time,motor_voltage,qei.omega,qei.theta
0,0,0,0
0.011,0,0,0
0.02,0,0,0
0.031,0,0,0
0.039,0,0,0
0.048,0,0,0
0.055,0,0,0
0.065,0,0,0
0.073,0,0,0
0.082,0,0,0
0.089,0,0,0
0.097,0,0,0
0.105,0,0,0
0.113,0,0,0
0.121,0,0,0
0.126,0,0,0
0.133,0,0,0
0.14,0,0,0
0.147,0,0,0
0.152,0,0,0
0.158,0,0,0
0.166,0,0,0
0.173,0,0,0
0.179,0,0,0
0.185,0,0,0
0.191,0,0,0
0.197,0,0,0
0.202,0,0,0
0.208,0,0,0
0.215,0,0,0
0.222,0,0,0
0.228,0,0,0
0.233,0,0,0
0.24,0,0,0
0.246,0,0,0
0.251,0,0,0
0.257,0,0,0
0.263,0,0,0
0.268,0,0,0
0.274,0,0,0
0.28,0,0,0
0.286,0,0,0
0.292,0,0,0
0.298,0,0,0
0.304,0,0,0
0.31,0,0,0
0.316,0,0,0
0.322,0,0,0
0.327,0,0,0
0.333,0,0,0
0.339,0,0,0
0.345,0,0,0
0.351,0,0,0
0.358,0,0,0
0.366,0,0,0
0.373,0,0,0
0.381,0,0,0
0.39,0,0,0
0.398,0,0,0
0.405,0,0,0
0.411,0,0,0
0.417,0,0,0
0.425,0,0,0
0.431,0,0,0
0.437,0,0,0
0.443,0,0,0
0.449,0,0,0
0.455,0,0,0
0.46,0,0,0
0.465,0,0,0
0.469,0,0,0
0.474,0,0,0
0.479,0,0,0
0.484,0,0,0
0.49,0,0,0
0.495,0,0,0
0.501,0,0,0
0.506,0,0,0
0.511,0,0,0
0.517,0,0,0
0.522,0,0,0
0.527,0,0,0
0.532,0,0,0
0.538,0,0,0
0.543,0,0,0
0.548,0,0,0
0.553,0,0,0
0.559,0,0,0
0.564,0,0,0
0.569,0,0,0
0.575,0,0,0
0.58,0,0,0
0.586,0,0,0
0.591,0,0,0
0.596,0,0,0
0.602,0,0,0
0.607,0,0,0
0.612,0,0,0
0.617,0,0,0
0.621,0,0,0
0.626,0,0,0
0.631,0,0,0
0.636,0,0,0
0.64,0,0,0
0.645,0,0,0
0.65,0,0,0
0.654,0,0,0
0.659,0,0,0
0.663,0,0,0
0.667,0,0,0
0.671,0,0,0
0.675,0,0,0
0.679,0,0,0
0.683,0,0,0
0.688,0,0,0
0.693,0,0,0
0.698,0,0,0
0.703,0,0,0
0.708,0,0,0
0.712,0,0,0
0.716,0,0,0
0.721,0,0,0
0.726,0,0,0
0.73,0,0,0
0.735,0,0,0
0.739,0,0,0
0.744,0,0,0
0.749,0,0,0
0.754,0,0,0
0.758,0,0,0
0.762,0,0,0
0.767,0,0,0
0.771,0,0,0
0.775,0,0,0
0.78,0,0,0
0.785,0,0,0
0.79,0,0,0
0.795,0,0,0
0.8,0,0,0
0.805,0,0,0
0.811,0,0,0
0.815,0,0,0
0.82,0,0,0
0.825,0,0,0
0.829,0,0,0
0.834,0,0,0
0.838,0,0,0
0.843,0,0,0
0.848,0,0,0
0.853,0,0,0
0.858,0,0,0
0.862,0,0,0
0.867,0,0,0
0.871,0,0,0
0.876,0,0,0
0.88,0,0,0
0.884,0,0,0
0.889,0,0,0
0.895,0,0,0
0.902,0,0,0
0.907,0,0,0
0.911,0,0,0
0.916,0,0,0
0.922,0,0,0
0.927,0,0,0
0.932,0,0,0
0.937,0,0,0
0.941,0,0,0
0.946,0,0,0
0.952,0,0,0
0.957,0,0,0
0.962,0,0,0
0.967,0,0,0
0.971,0,0,0
0.976,0,0,0
0.981,0,0,0
0.987,0,0,0
0.993,0,0,0
0.999,0,0,0
1.006,0,0,0
1.011,0,0,0
1.02,0,0,0
1.025,0,0,0
1.029,0,0,0
1.033,0,0,0
1.038,0,0,0
1.043,0,0,0
1.048,0,0,0
1.054,0,0,0
1.06,0,0,0
1.065,0,0,0
1.07,0,0,0
1.074,0,0,0
1.079,0,0,0
1.083,0,0,0
1.089,0,0,0
1.094,0,0,0
1.099,0,0,0
1.105,0,0,0
1.112,0,0,0
1.117,0,0,0
1.123,0,0,0
1.129,0,0,0
1.134,0,0,0
1.138,0,0,0
1.143,0,0,0
1.147,0,0,0
1.152,0,0,0
1.158,0,0,0
1.163,0,0,0
1.168,0,0,0
1.172,0,0,0
1.176,0,0,0
1.182,0,0,0
1.186,0,0,0
1.192,0,0,0
1.198,0,0,0
1.203,0,0,0
1.209,0,0,0
1.215,0,0,0
1.22,0,0,0
1.224,0,0,0
1.229,0,0,0
1.234,0,0,0
1.239,0,0,0
1.244,0,0,0
1.248,0,0,0
1.253,0,0,0
1.258,0,0,0
1.262,0,0,0
1.267,0,0,0
1.272,0,0,0
1.277,0,0,0
1.281,0,0,0
1.285,0,0,0
1.289,0,0,0
1.294,0,0,0
1.299,0,0,0
1.305,0,0,0
1.31,0,0,0
1.315,0,0,0
1.321,0,0,0
1.327,0,0,0
1.332,0,0,0
1.337,0,0,0
1.342,0,0,0
1.346,0,0,0
1.351,0,0,0
1.355,0,0,0
1.361,0,0,0
1.365,0,0,0
1.37,0,0,0
1.375,0,0,0
1.38,0,0,0
1.386,0,0,0
1.392,0,0,0
1.4,0,0,0
1.407,0,0,0
1.414,0,0,0
1.419,0,0,0
1.424,0,0,0
1.428,0,0,0
1.433,0,0,0
1.438,0,0,0
1.443,0,0,0
1.447,0,0,0
1.452,0,0,0
1.456,0,0,0
1.462,0,0,0
1.468,0,0,0
1.472,0,0,0
1.476,0,0,0
1.481,0,0,0
1.485,0,0,0
1.49,0,0,0
1.497,0,0,0
1.503,0,0,0
1.511,0,0,0
1.518,0,0,0
1.523,0,0,0
1.528,0,0,0
1.533,0,0,0
1.538,0,0,0
1.542,0,0,0
1.547,0,0,0
1.552,0,0,0
1.556,0,0,0
1.56,0,0,0
1.564,0,0,0
1.569,0,0,0
1.573,0,0,0
1.578,0,0,0
1.582,0,0,0
1.588,0,0,0
1.594,0,0,0
1.599,0,0,0
1.604,0,0,0
1.61,0,0,0
1.615,0,0,0
1.62,0,0,0
1.626,0,0,0
1.632,0,0,0
1.637,0,0,0
1.641,0,0,0
1.646,0,0,0
1.652,0,0,0
1.657,0,0,0
1.662,0,0,0
1.666,0,0,0
1.67,0,0,0
1.676,0,0,0
